tick,php,node,python3,ruby
1024,0.03281900007277727,0.09744599997065961,0.09792199986986816,0.09256900008767843
2048,0.032322000013664365,0.10055800015106797,0.1019930001348257,0.09463800000958145
4096,0.03293999982997775,0.09700600011274219,0.1024079998023808,0.09192300005815923
8192,0.03280599997378886,0.10251999995671213,0.099222999997437,0.09138600016012788
16384,0.03272300004027784,0.10061099985614419,0.09954399988055229,0.09248300013132393
32768,0.0326509999576956,0.10228699981234968,0.1008270001038909,0.09258500020951033
65536,0.0328770000487566,0.10086499992758036,0.10790000017732382,0.09531200001947582
131072,0.03375800000503659,0.10136299999430776,0.1111339998897165,0.09809099999256432
262144,0.035946999909356236,0.09829399990849197,0.12373100011609495,0.10362200019881129
524288,0.038788000121712685,0.10153900017030537,0.15526299993507564,0.11710399994626641
1048576,0.04470099997706711,0.10140400007367134,0.20920899999327958,0.14020799985155463
2097152,0.054391000187024474,0.10470800008624792,0.3357819998636842,0.1881539998576045
4194304,0.07609099987894297,0.10324000008404255,0.5534810000099242,0.2844770001247525
8388608,0.11858200002461672,0.10654100007377565,0.9641879999544472,0.48013299982994795
16777216,0.20402400009334087,0.11458600009791553,1.7636669999919832,0.9774500001221895
33554432,0.37153099989518523,0.13131899992004037,3.5903189999517053,1.6529699999373406
67108864,0.7078140000812709,0.16204500012099743,7.2094410001300275,3.193398999981582
134217728,1.3800979999359697,0.22498299996368587,13.886403999989852,6.486609000014141
